2025-09-01 10:29:59.133 | INFO     | __main__:processar_mte:61 - Iniciando automação da aba: MTE
2025-09-01 10:29:59.996 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 22988817000152
2025-09-01 10:30:17.550 | ERROR    | __main__:processar_mte:119 - 22988817000152 → ERRO: TimeoutError: Timeout 15000ms exceeded.
=========================== logs ===========================
"load" event fired
============================================================
2025-09-01 10:30:17.552 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 24061787000160
2025-09-01 10:30:27.424 | ERROR    | __main__:processar_mte:119 - 24061787000160 → ERRO: Error: Target page, context or browser has been closed
2025-09-01 10:30:27.427 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 61745095000167
2025-09-01 10:30:27.429 | ERROR    | __main__:processar_mte:119 - 61745095000167 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.431 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 07098574000193
2025-09-01 10:30:27.433 | ERROR    | __main__:processar_mte:119 - 07098574000193 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.435 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 61289975000176
2025-09-01 10:30:27.436 | ERROR    | __main__:processar_mte:119 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.438 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 32181064000122
2025-09-01 10:30:27.440 | ERROR    | __main__:processar_mte:119 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.441 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 45880695000181
2025-09-01 10:30:27.443 | ERROR    | __main__:processar_mte:119 - 45880695000181 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.444 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 11999645000104
2025-09-01 10:30:27.446 | ERROR    | __main__:processar_mte:119 - 11999645000104 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.447 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 41070149000124
2025-09-01 10:30:27.449 | ERROR    | __main__:processar_mte:119 - 41070149000124 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.450 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 00060631600272
2025-09-01 10:30:27.452 | ERROR    | __main__:processar_mte:119 - 00060631600272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.453 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 47274662000113
2025-09-01 10:30:27.455 | ERROR    | __main__:processar_mte:119 - 47274662000113 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.456 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 38112365000180
2025-09-01 10:30:27.457 | ERROR    | __main__:processar_mte:119 - 38112365000180 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.459 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 30080700000102
2025-09-01 10:30:27.460 | ERROR    | __main__:processar_mte:119 - 30080700000102 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.462 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 43023281000100
2025-09-01 10:30:27.464 | ERROR    | __main__:processar_mte:119 - 43023281000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.465 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 35856232000120
2025-09-01 10:30:27.467 | ERROR    | __main__:processar_mte:119 - 35856232000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.468 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 51516274000179
2025-09-01 10:30:27.470 | ERROR    | __main__:processar_mte:119 - 51516274000179 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.471 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 53165195000196
2025-09-01 10:30:27.473 | ERROR    | __main__:processar_mte:119 - 53165195000196 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.474 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 09461099000101
2025-09-01 10:30:27.476 | ERROR    | __main__:processar_mte:119 - 09461099000101 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.476 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 21967775000100
2025-09-01 10:30:27.478 | ERROR    | __main__:processar_mte:119 - 21967775000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.480 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 38059475000126
2025-09-01 10:30:27.482 | ERROR    | __main__:processar_mte:119 - 38059475000126 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.483 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 47766186000158
2025-09-01 10:30:27.484 | ERROR    | __main__:processar_mte:119 - 47766186000158 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.486 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 00000863578241
2025-09-01 10:30:27.487 | ERROR    | __main__:processar_mte:119 - 00000863578241 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.488 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 41505475000117
2025-09-01 10:30:27.489 | ERROR    | __main__:processar_mte:119 - 41505475000117 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.490 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 50992729000160
2025-09-01 10:30:27.491 | ERROR    | __main__:processar_mte:119 - 50992729000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.492 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 00058886621272
2025-09-01 10:30:27.494 | ERROR    | __main__:processar_mte:119 - 00058886621272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.495 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 17871432000170
2025-09-01 10:30:27.496 | ERROR    | __main__:processar_mte:119 - 17871432000170 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.497 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 05962437000120
2025-09-01 10:30:27.499 | ERROR    | __main__:processar_mte:119 - 05962437000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:30:27.623 | INFO     | __main__:processar_mte:125 - Processo concluído.
2025-09-01 10:33:45.062 | INFO     | __main__:processar_mte:61 - Iniciando automação da aba: MTE
2025-09-01 10:33:45.944 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 22988817000152
2025-09-01 10:33:47.189 | ERROR    | __main__:processar_mte:119 - 22988817000152 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
Call log:
  - navigating to "https://eprocesso.sit.trabalho.gov.br/Entrar?ReturnUrl=%2FCertidao%2FEmitir", waiting until "load"

2025-09-01 10:33:47.191 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 24061787000160
2025-09-01 10:33:47.194 | ERROR    | __main__:processar_mte:119 - 24061787000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.196 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 61745095000167
2025-09-01 10:33:47.198 | ERROR    | __main__:processar_mte:119 - 61745095000167 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.200 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 07098574000193
2025-09-01 10:33:47.202 | ERROR    | __main__:processar_mte:119 - 07098574000193 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.203 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 61289975000176
2025-09-01 10:33:47.206 | ERROR    | __main__:processar_mte:119 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 10:33:47.209 | INFO     | __main__:processar_mte:78 - Consultando CNPJ: 32181064000122
2025-09-01 10:33:47.212 | ERROR    | __main__:processar_mte:119 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
