2025-09-01 19:50:39.645 | INFO     | __main__:processar_cdt:63 - Iniciando automação da aba: CDT
2025-09-01 19:50:40.520 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 22988817000152
2025-09-01 19:51:11.683 | ERROR    | __main__:processar_cdt:135 - 22988817000152 → ERRO: TargetClosedError: Locator.fill: Target page, context or browser has been closed
Call log:
  - waiting for get_by_role("textbox", name="Registro no Cadastro Nacional")

2025-09-01 19:51:11.684 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 24061787000160
2025-09-01 19:51:11.687 | ERROR    | __main__:processar_cdt:135 - 24061787000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.689 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 61745095000167
2025-09-01 19:51:11.691 | ERROR    | __main__:processar_cdt:135 - 61745095000167 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.692 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 07098574000193
2025-09-01 19:51:11.695 | ERROR    | __main__:processar_cdt:135 - 07098574000193 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.696 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 61289975000176
2025-09-01 19:51:11.699 | ERROR    | __main__:processar_cdt:135 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.700 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 32181064000122
2025-09-01 19:51:11.703 | ERROR    | __main__:processar_cdt:135 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.704 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 45880695000181
2025-09-01 19:51:11.705 | ERROR    | __main__:processar_cdt:135 - 45880695000181 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.707 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 11999645000104
2025-09-01 19:51:11.709 | ERROR    | __main__:processar_cdt:135 - 11999645000104 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.711 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 41070149000124
2025-09-01 19:51:11.713 | ERROR    | __main__:processar_cdt:135 - 41070149000124 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.715 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 00060631600272
2025-09-01 19:51:11.718 | ERROR    | __main__:processar_cdt:135 - 00060631600272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.719 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 47274662000113
2025-09-01 19:51:11.722 | ERROR    | __main__:processar_cdt:135 - 47274662000113 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.724 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 38112365000180
2025-09-01 19:51:11.726 | ERROR    | __main__:processar_cdt:135 - 38112365000180 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.728 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 30080700000102
2025-09-01 19:51:11.730 | ERROR    | __main__:processar_cdt:135 - 30080700000102 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.732 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 43023281000100
2025-09-01 19:51:11.735 | ERROR    | __main__:processar_cdt:135 - 43023281000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.737 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 35856232000120
2025-09-01 19:51:11.739 | ERROR    | __main__:processar_cdt:135 - 35856232000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.741 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 51516274000179
2025-09-01 19:51:11.743 | ERROR    | __main__:processar_cdt:135 - 51516274000179 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.744 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 53165195000196
2025-09-01 19:51:11.746 | ERROR    | __main__:processar_cdt:135 - 53165195000196 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:11.747 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 09461099000101
