2025-08-31 17:22:31.064 | INFO     | __main__:processar_pmm:64 - Iniciando automação da aba: PMM
2025-08-31 17:22:32.003 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 22988817000152
2025-08-31 17:23:05.842 | ERROR    | __main__:processar_pmm:132 - 22988817000152 → ERRO: TimeoutError: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("radio", name="CNPJ")

2025-08-31 17:23:05.844 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 24061787000160
2025-08-31 17:23:19.405 | ERROR    | __main__:processar_pmm:132 - 24061787000160 → ERRO: TargetClosedError: Locator.click: Target page, context or browser has been closed
Call log:
  - waiting for get_by_role("radio", name="CNPJ")

2025-08-31 17:23:19.406 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 61745095000167
2025-08-31 17:23:19.408 | ERROR    | __main__:processar_pmm:132 - 61745095000167 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-08-31 17:23:19.409 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 07098574000193
2025-08-31 17:23:19.411 | ERROR    | __main__:processar_pmm:132 - 07098574000193 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-08-31 17:23:19.411 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 61289975000176
2025-08-31 17:23:19.413 | ERROR    | __main__:processar_pmm:132 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-08-31 17:23:19.415 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 32181064000122
2025-08-31 17:23:19.417 | ERROR    | __main__:processar_pmm:132 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-08-31 17:23:19.419 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 45880695000181
2025-08-31 17:23:19.421 | ERROR    | __main__:processar_pmm:132 - 45880695000181 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-08-31 17:23:19.423 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 41070149000124
2025-08-31 17:23:19.425 | ERROR    | __main__:processar_pmm:132 - 41070149000124 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-08-31 17:23:19.427 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 47274662000113
2025-08-31 17:23:19.430 | ERROR    | __main__:processar_pmm:132 - 47274662000113 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-08-31 17:23:19.431 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 38112365000180
2025-08-31 17:23:19.433 | ERROR    | __main__:processar_pmm:132 - 38112365000180 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
